symbol,entry_date,entry_price,exit_date,exit_price,pnl_pct,duration,entry_tag,exit_reason
NTPC,2025-12-04,322.95,2026-01-14,338.9,4.94,28,Oversold-Decel,ExitReason.ST_CROSS
NESTLEIND,2019-05-16,513.8630638195777,2019-06-18,575.07,11.91,22,Oversold-Decel,ExitReason.CWC_SLOPE_EARLY_RELEASE
NESTLEIND,2021-11-08,952.1578095009597,2022-01-17,969.69,1.84,49,Oversold-Decel,ExitReason.ST_CROSS
NESTLEIND,2022-04-06,910.5461252399233,2022-04-20,909.65,-0.1,8,SavgolCTS Universal-Cross-ReboundBypass,ExitReason.ST_CROSS
NESTLEIND,2022-06-20,848.083613243762,2022-09-07,951.79,12.23,53,SavgolCTS CDVL-CTS,ExitReason.CWVAP_EXHAUSTION
NESTLEIND,2023-03-06,925.4463571657069,2023-03-28,944.7,2.08,15,SavgolCTS Trend-Pullback-CWCBypass,ExitReason.ST_CROSS
NESTLEIND,2024-11-01,1141.15,2025-01-16,1102.55,-3.38,51,Oversold-Decel,ExitReason.ST_CROSS
NESTLEIND,2025-08-08,1096.5,2025-08-28,1165.6,6.3,12,Oversold-Decel,ExitReason.ST_CROSS
NESTLEIND,2025-10-06,1181.7,2025-10-15,1175.5,-0.52,7,SavgolCTS Universal-Cross,ExitReason.PRT_ST_CROSS
NESTLEIND,2026-04-01,1180.8,2026-04-15,1235.0,4.59,8,Oversold-Decel,ExitReason.ST_CROSS
ONGC,2019-07-23,134.5992739458252,2019-09-20,115.8,-13.97,39,SavgolCTS Trend-Pullback-CWCBypass,ExitReason.ST_CROSS
ONGC,2019-12-03,118.82155822395978,2020-04-17,77.8,-34.52,91,Oversold-Decel,ExitReason.ST_CROSS
ONGC,2020-05-04,76.55,2020-05-13,79.0,3.2,7,SavgolCTS Universal-Cross-ReboundBypass,ExitReason.ST_CROSS
ONGC,2020-09-15,73.8,2020-10-16,66.65,-9.69,22,SavgolCTS Universal-Cross,ExitReason.CTS_NEAR_MISS_ROLLOVER
ONGC,2020-10-28,66.35,2020-11-23,72.0,8.52,17,Oversold-Decel,ExitReason.ST_CROSS
ONGC,2021-04-13,102.05,2021-05-17,113.95,11.66,21,Oversold-Decel,ExitReason.CWC_SLOPE_EARLY_RELEASE
ONGC,2022-05-11,158.6,2022-06-17,142.45,-10.18,27,Oversold-Decel,ExitReason.ST_CROSS
ONGC,2024-09-20,286.25,2024-11-18,251.1,-12.28,39,SavgolCTS SpringBoard,ExitReason.HARD_STOP
ONGC,2024-11-29,256.7,2024-12-12,258.0,0.51,9,SavgolCTS CDVL-CTS,ExitReason.ST_CROSS
ONGC,2024-12-31,239.25,2025-01-16,260.0,8.67,12,Oversold-Decel,ExitReason.ST_CROSS
ONGC,2025-03-11,226.72,2025-04-02,250.05,10.29,14,Oversold-Decel,ExitReason.ST_CROSS
ONGC,2025-09-09,231.33,2025-10-09,241.84,4.54,21,SavgolCTS Trend-Pullback-CWCBypass,ExitReason.CWC_SLOPE_EARLY_RELEASE
ONGC,2025-12-08,238.52,2026-01-09,232.29,-2.61,23,SavgolCTS Trend-Pullback,ExitReason.CTS_NEAR_MISS_ROLLOVER
POWERGRID,2019-02-07,103.84269206970181,2019-04-10,111.24,7.12,42,SavgolCTS SpringBoard,ExitReason.STRUCTURAL_CLIMAX
POWERGRID,2019-12-23,104.5177258209675,2020-03-05,110.28,5.52,51,SavgolCTS SpringBoard,ExitReason.TIME_DECAY
POWERGRID,2020-09-30,91.3826940775897,2020-12-02,108.48,18.71,42,Oversold-Decel,ExitReason.PRT_ST_CROSS
POWERGRID,2021-09-02,131.81579539488487,2021-09-28,132.64,0.63,17,SavgolCTS CDVL-CTS,ExitReason.CTS_NEAR_MISS_ROLLOVER
POWERGRID,2021-12-24,154.05385134628366,2022-02-04,159.0,3.21,29,SavgolCTS Flow-Momentum,ExitReason.STRUCTURAL_CLIMAX
POWERGRID,2022-06-20,156.19140478511963,2022-09-02,170.63,9.24,50,Oversold-Decel,ExitReason.CWC_SLOPE_EARLY_RELEASE
POWERGRID,2023-02-21,162.90407260181505,2023-03-23,168.0,3.13,21,SavgolCTS Universal-Cross-ReboundBypass,ExitReason.ST_CROSS
POWERGRID,2023-08-21,185.4046351158779,2023-10-06,197.0,6.25,32,Oversold-Decel,ExitReason.CWVAP_EXHAUSTION
POWERGRID,2024-10-24,319.15,2024-12-02,328.15,2.82,25,SavgolCTS Flow-Momentum,ExitReason.ST_CROSS
POWERGRID,2025-01-07,305.05,2025-04-03,289.35,-5.15,59,Oversold-Decel,ExitReason.PRT_ST_CROSS
POWERGRID,2025-06-13,285.5,2025-07-03,298.4,4.52,14,Oversold-Decel,ExitReason.ST_CROSS
POWERGRID,2025-08-22,283.35,2025-09-10,284.7,0.48,12,Oversold-Decel,ExitReason.PRT_ST_CROSS
POWERGRID,2025-12-24,268.05,2026-01-08,264.0,-1.51,10,SavgolCTS Universal-Cross-ReboundBypass,ExitReason.ST_CROSS
RELIANCE,2019-07-09,581.0712664548344,2019-08-28,578.19,-0.5,34,SavgolCTS Trend-Pullback,ExitReason.ST_CROSS
RELIANCE,2021-07-22,962.6418520199727,2021-11-01,1151.27,19.59,69,SavgolCTS Trend-Pullback-CWCBypass,ExitReason.CWVAP_EXHAUSTION
RELIANCE,2022-07-15,1090.240581025874,2022-08-22,1187.93,8.96,23,Oversold-Decel,ExitReason.CWC_SLOPE_EARLY_RELEASE
RELIANCE,2022-09-26,1079.1420789832048,2022-12-14,1197.3,10.95,54,SavgolCTS SpringBoard,ExitReason.TIME_DECAY
RELIANCE,2022-12-26,1145.7330912392194,2023-02-24,1076.71,-6.02,43,Oversold-Decel,ExitReason.ST_CROSS
RELIANCE,2023-03-09,1070.9260099863823,2023-04-17,1100.75,2.78,23,SavgolCTS Universal-Cross-ReboundBypass,ExitReason.ST_CROSS
RELIANCE,2023-10-03,1159.075,2023-11-09,1167.92,0.76,26,Oversold-Decel,ExitReason.PRT_ST_CROSS
RELIANCE,2024-10-23,1338.525,2024-12-11,1285.0,-4.0,33,Oversold-Decel,ExitReason.ST_CROSS
RELIANCE,2025-02-05,1278.2,2025-02-11,1264.55,-1.07,4,SavgolCTS Universal-Cross-ReboundBypass,ExitReason.PRT_ST_CROSS
RELIANCE,2025-04-16,1239.3,2025-05-23,1406.6,13.5,25,SavgolCTS Universal-Cross-ReboundBypass,ExitReason.CWC_SLOPE_EARLY_RELEASE
RELIANCE,2025-08-08,1367.8,2025-08-28,1389.9,1.62,12,Oversold-Decel,ExitReason.ST_CROSS
RELIANCE,2026-01-30,1395.4,2026-02-16,1420.1,1.77,11,Oversold-Decel,ExitReason.ST_CROSS
RELIANCE,2026-03-04,1345.0,2026-04-28,1358.0,0.97,35,SavgolCTS Trend-Pullback-CWCBypass,ExitReason.CTS_NEAR_MISS_ROLLOVER
SBILIFE,2019-02-28,578.55,2019-03-15,613.1,5.97,10,SavgolCTS Trend-Pullback,ExitReason.PRT_ST_CROSS
SBILIFE,2020-03-27,602.85,2020-04-20,703.0,16.61,12,SavgolCTS Universal-Cross,ExitReason.ST_CROSS
SBILIFE,2020-10-13,786.55,2020-10-15,810.6,3.06,2,SavgolCTS Trend-Pullback-CWCBypass,ExitReason.ST_CROSS
SBILIFE,2020-10-22,780.8,2020-11-24,831.95,6.55,22,SavgolCTS Trend-Pullback-CWCBypass,ExitReason.CWC_SLOPE_EARLY_RELEASE
SBILIFE,2022-02-23,1101.75,2022-04-20,1127.5,2.34,36,Oversold-Decel,ExitReason.PRT_ST_CROSS
SBILIFE,2022-10-12,1212.2,2022-11-02,1275.1,5.19,14,Oversold-Decel,ExitReason.ST_CROSS
SBILIFE,2023-03-10,1095.9,2023-04-20,1123.4,2.51,25,Oversold-Decel,ExitReason.PRT_ST_CROSS
SBILIFE,2023-05-03,1136.9,2023-05-16,1196.0,5.2,9,SavgolCTS Universal-Cross-ReboundBypass,ExitReason.ST_CROSS
SBILIFE,2023-10-09,1277.25,2023-12-20,1437.0,12.51,49,SavgolCTS SpringBoard,ExitReason.STRUCTURAL_CLIMAX
SBILIFE,2024-04-30,1436.55,2024-06-26,1462.0,1.77,39,Oversold-Decel,ExitReason.ST_CROSS
SBILIFE,2024-10-17,1702.0,2024-12-20,1402.45,-17.6,44,Oversold-Decel,ExitReason.ST_CROSS
SBILIFE,2025-01-01,1400.4,2025-01-16,1486.0,6.11,11,Oversold-Decel,ExitReason.ST_CROSS
SBILIFE,2025-10-09,1809.8,2025-12-03,1982.0,9.51,36,SavgolCTS CDVL-CTS,ExitReason.STRUCTURAL_CLIMAX
SBILIFE,2026-03-20,1896.9,2026-04-23,1865.0,-1.68,20,Oversold-Decel,ExitReason.ST_CROSS
SHRIRAMFIN,2023-01-30,248.76999999999998,2023-02-06,252.0,1.3,5,SavgolCTS Trend-Pullback,ExitReason.CTS_NEAR_MISS_ROLLOVER
SHRIRAMFIN,2024-03-20,462.84,2024-04-16,480.0,3.71,16,SavgolCTS CDVL-CTS,ExitReason.STRUCTURAL_CLIMAX
SHRIRAMFIN,2024-11-08,601.5899999999999,2025-01-10,566.0,-5.92,42,Oversold-Decel,ExitReason.CTS_NEAR_MISS_ROLLOVER
SHRIRAMFIN,2025-01-28,530.1,2025-02-11,566.0,6.77,10,Oversold-Decel,ExitReason.ST_CROSS
SHRIRAMFIN,2025-08-04,624.9,2025-09-23,628.0,0.5,34,Oversold-Decel,ExitReason.ST_CROSS
